timestamp_iso,sensor_id,co2_ppm,exhaust_temp_c,engine_rpm,estimated_co2_kg_h
2026-08-03T10:00:00Z,MAR-VESSEL-01,682.4,245.8,1420,18.45
2026-08-03T10:00:02Z,MAR-VESSEL-01,701.1,248.2,1435,19.12
2026-08-03T10:00:04Z,MAR-VESSEL-01,715.0,251.0,1450,19.88
2026-08-03T10:00:06Z,MAR-VESSEL-01,695.3,250.4,1440,18.90
2026-08-03T10:00:08Z,MAR-VESSEL-01,678.9,247.1,1415,18.22
2026-08-03T10:00:10Z,MAR-VESSEL-01,740.2,260.5,1580,23.10
2026-08-03T10:00:12Z,MAR-VESSEL-01,780.6,268.0,1650,26.45
2026-08-03T10:00:14Z,MAR-VESSEL-01,765.1,265.4,1625,25.10
2026-08-03T10:00:16Z,MAR-VESSEL-01,710.8,255.0,1480,20.60
2026-08-03T10:00:18Z,MAR-VESSEL-01,688.5,249.0,1430,18.65
